team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts,min_dec,fg2_m,fg2_a,fg3_m,fg3_a,ft_m,ft_a,game_key,fg_m,fg_a,fg_pct,fg2_pct,fg3_pct,ft_pct,efg_pct,ts_pct,eff,opponent
신한은행,7,046,202511,1,신이슬,G,31:40,1-7,1-4,1-2,0,4,4,4,3,4,2,0,6,31.666666666666668,1,7,1,4,1,2,46-202511-7,2,11,18.2,14.3,25.0,50.0,22.7,25.3,6,우리은행
신한은행,7,046,202511,1,신지현,G,28:22,1-2,0-3,6-9,1,4,5,5,5,0,3,0,8,28.366666666666667,1,2,0,3,6,9,46-202511-7,1,5,20.0,50.0,0.0,66.7,20.0,44.6,8,우리은행
신한은행,7,046,202511,1,김진영,F,23:44,1-1,0-2,0-0,1,3,4,2,2,0,3,0,2,23.733333333333334,1,1,0,2,0,0,46-202511-7,1,3,33.3,100.0,0.0,0.0,33.3,33.3,3,우리은행
신한은행,7,046,202511,1,이두나,F,15:57,1-3,0-2,1-2,0,3,3,0,0,0,0,0,3,15.95,1,3,0,2,1,2,46-202511-7,1,5,20.0,33.3,0.0,50.0,20.0,25.5,1,우리은행
신한은행,7,046,202511,1,이혜미,G,13:37,1-1,0-2,1-1,0,0,0,1,3,1,2,0,3,13.616666666666667,1,1,0,2,1,1,46-202511-7,1,3,33.3,100.0,0.0,100.0,33.3,43.6,1,우리은행
신한은행,7,046,202511,1,최이샘,F,13:34,0-1,0-0,2-2,0,0,0,0,2,0,1,0,2,13.566666666666666,0,1,0,0,2,2,46-202511-7,0,1,0.0,0.0,0.0,100.0,0.0,53.2,0,우리은행
신한은행,7,046,202511,1,허유정,G,05:18,0-0,0-1,0-0,1,1,2,1,0,0,0,0,0,5.3,0,0,0,1,0,0,46-202511-7,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,우리은행
신한은행,7,046,202511,1,팀합계,팀합계,200:00,8-26,8-25,11-16,4,21,25,14,22,5,11,2,51,200.0,8,26,8,25,11,16,46-202511-7,16,51,31.4,30.8,32.0,68.8,39.2,43.9,46,우리은행
우리은행,7,046,202511,1,김단비,F,36:02,2-6,3-7,3-6,4,8,12,3,3,0,1,0,16,36.03333333333333,2,6,3,7,3,6,46-202511-7,5,13,38.5,33.3,42.9,50.0,50.0,51.2,19,신한은행
우리은행,7,046,202511,1,이명관,F,35:54,6-12,1-1,6-7,2,5,7,2,1,1,3,0,21,35.9,6,12,1,1,6,7,46-202511-7,7,13,53.8,50.0,100.0,85.7,57.7,65.3,21,신한은행
우리은행,7,046,202511,1,이민지,G,26:22,2-4,0-8,0-0,2,2,4,2,2,0,0,2,4,26.366666666666667,2,4,0,8,0,0,46-202511-7,2,12,16.7,50.0,0.0,0.0,16.7,16.7,2,신한은행
