season_gu,game_type,ym,game_no,game_key,team,min_total,fg2_m,fg2_a,fg3_m,fg3_a,ft_m,ft_a,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts_for,fg_m,fg_a,fg_pct,fg2_pct,fg3_pct,ft_pct,efg_pct,ts_pct,eff,opponent,pts_against,margin,win,pts
006,1,200006,32,6-1-200006-32,신세계,200.0,19,40,8,21,11,13,14,20,34,18,14,8,15,0,73,27,61,44.3,47.5,38.1,84.6,50.8,54.7,82,우리은행,79,-6,False,73
006,1,200006,32,6-1-200006-32,우리은행,200.0,23,44,9,13,6,7,6,18,24,21,18,10,12,7,79,32,57,56.1,52.3,69.2,85.7,64.0,65.7,103,신세계,73,6,True,79
006,1,200006,33,6-1-200006-33,삼성생명,200.0,25,41,4,20,14,17,15,25,40,18,22,8,19,6,76,29,61,47.5,61.0,20.0,82.4,50.8,55.5,94,현대,82,-6,False,76
006,1,200006,33,6-1-200006-33,현대,200.0,22,42,9,20,11,15,8,17,25,25,21,10,14,4,82,31,62,50.0,52.4,45.0,73.3,57.3,59.8,97,삼성생명,76,6,True,82
006,1,200006,34,6-1-200006-34,금호생명,200.0,21,39,7,16,7,8,7,21,28,13,26,6,23,3,70,28,55,50.9,53.8,43.8,87.5,57.3,59.8,69,신세계,79,-9,False,70
006,1,200006,34,6-1-200006-34,신세계,200.0,20,45,5,14,24,28,13,17,30,16,16,13,11,4,79,25,59,42.4,44.4,35.7,85.7,46.6,55.4,93,금호생명,70,9,True,79
006,1,200007,35,6-1-200007-35,우리은행,200.0,22,49,3,12,24,34,12,20,32,18,23,12,17,3,77,25,61,41.0,44.9,25.0,70.6,43.4,50.7,79,현대,107,-30,False,77
006,1,200007,35,6-1-200007-35,현대,200.0,25,45,12,21,21,29,13,26,39,19,26,12,17,6,107,37,66,56.1,55.6,57.1,72.4,65.2,67.9,129,우리은행,77,30,True,107
006,1,200007,36,6-1-200007-36,KB스타즈,225.0,29,53,8,23,22,27,13,22,35,25,22,11,14,8,104,37,76,48.7,54.7,34.8,81.5,53.9,59.2,125,삼성생명,102,2,True,104
006,1,200007,36,6-1-200007-36,삼성생명,225.0,35,63,5,14,17,21,13,27,40,22,26,8,14,2,102,40,77,51.9,55.6,35.7,81.0,55.2,59.1,119,KB스타즈,104,-2,False,102
006,1,200007,37,6-1-200007-37,삼성생명,200.0,22,45,4,9,10,14,7,23,30,11,20,6,15,5,66,26,54,48.1,48.9,44.4,71.4,51.9,54.9,71,신세계,54,12,True,66
006,1,200007,37,6-1-200007-37,신세계,200.0,21,47,1,14,9,13,13,21,34,12,18,9,15,8,54,22,61,36.1,44.7,7.1,69.2,36.9,40.5,59,삼성생명,66,-12,False,54
006,1,200007,38,6-1-200007-38,금호생명,200.0,19,48,4,17,16,27,13,28,41,13,23,4,13,4,66,23,65,35.4,39.6,23.5,59.3,38.5,42.9,62,현대,83,-17,False,66
006,1,200007,38,6-1-200007-38,현대,200.0,24,56,6,19,17,25,14,31,45,16,26,8,12,8,83,30,75,40.0,42.9,31.6,68.0,44.0,48.3,95,금호생명,66,17,True,83
006,1,200007,39,6-1-200007-39,KB스타즈,200.0,22,43,7,20,8,16,11,20,31,18,15,5,22,7,73,29,63,46.0,51.2,35.0,50.0,51.6,52.1,70,신세계,87,-14,False,73
006,1,200007,39,6-1-200007-39,신세계,200.0,28,59,7,15,10,14,19,25,44,24,17,15,14,5,87,35,74,47.3,47.5,46.7,71.4,52.0,54.3,118,KB스타즈,73,14,True,87
006,1,200007,40,6-1-200007-40,금호생명,200.0,16,38,10,24,6,9,10,14,24,15,19,9,16,0,68,26,62,41.9,42.1,41.7,66.7,50.0,51.5,61,우리은행,86,-18,False,68
006,1,200007,40,6-1-200007-40,우리은행,200.0,30,47,4,10,14,16,7,23,30,22,15,10,14,6,86,34,57,59.6,63.8,40.0,87.5,63.2,67.1,115,금호생명,68,18,True,86
006,1,200007,41,6-1-200007-41,KB스타즈,200.0,26,50,3,7,11,14,11,25,36,18,12,3,15,6,72,29,57,50.9,52.0,42.9,78.6,53.5,57.0,89,현대,74,-2,False,72
006,1,200007,41,6-1-200007-41,현대,200.0,22,48,8,21,6,8,14,18,32,22,15,9,10,7,74,30,69,43.5,45.8,38.1,75.0,49.3,51.0,93,KB스타즈,72,2,True,74
006,1,200007,42,6-1-200007-42,금호생명,200.0,16,45,4,18,6,12,13,23,36,10,23,5,12,3,50,20,63,31.7,35.6,22.2,50.0,34.9,36.6,43,삼성생명,69,-19,False,50
006,1,200007,42,6-1-200007-42,삼성생명,200.0,18,38,7,24,12,20,13,31,44,14,15,7,12,5,69,25,62,40.3,47.4,29.2,60.0,46.0,48.7,82,금호생명,50,19,True,69
006,1,200007,43,6-1-200007-43,KB스타즈,200.0,19,47,3,13,14,18,9,21,30,15,17,8,13,2,61,22,60,36.7,40.4,23.1,77.8,39.2,44.9,61,우리은행,66,-5,False,61
006,1,200007,43,6-1-200007-43,우리은행,200.0,21,44,2,10,18,20,11,23,34,23,18,5,18,11,66,23,54,42.6,47.7,20.0,90.0,44.4,52.5,88,KB스타즈,61,5,True,66
006,1,200007,44,6-1-200007-44,신세계,200.0,29,63,2,5,19,22,16,30,46,22,25,7,14,2,83,31,68,45.6,46.0,40.0,86.4,47.1,53.4,106,현대,75,8,True,83
006,1,200007,44,6-1-200007-44,현대,200.0,22,40,3,22,22,27,11,17,28,19,19,10,11,4,75,25,62,40.3,55.0,13.6,81.5,42.7,50.8,83,신세계,83,-8,False,75
006,1,200007,45,6-1-200007-45,삼성생명,200.0,17,49,5,21,7,17,18,19,37,10,17,8,10,5,56,22,70,31.4,34.7,23.8,41.2,35.0,36.1,48,우리은행,77,-21,False,56
006,1,200007,45,6-1-200007-45,우리은행,200.0,30,48,2,7,11,14,6,29,35,23,15,9,12,9,77,32,55,58.2,62.5,28.6,78.6,60.0,62.9,115,삼성생명,56,21,True,77
006,1,200007,46,6-1-200007-46,금호생명,200.0,18,43,8,18,11,21,16,17,33,16,17,4,15,6,71,26,61,42.6,41.9,44.4,52.4,49.2,50.5,70,신세계,73,-2,False,71
006,1,200007,46,6-1-200007-46,신세계,200.0,23,41,6,11,9,10,8,22,30,18,20,7,14,3,73,29,52,55.8,56.1,54.5,90.0,61.5,64.7,93,금호생명,71,2,True,73
006,1,200007,47,6-1-200007-47,신세계,200.0,22,46,7,15,19,22,8,15,23,21,19,13,10,2,84,29,61,47.5,47.8,46.7,86.4,53.3,59.4,98,우리은행,80,4,True,84
