season_gu,team,name,gp,pos,min_total,fg2_m,fg2_a,fg3_m,fg3_a,ft_m,ft_a,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts,fg_m,fg_a,fg_pct,fg2_pct,fg3_pct,ft_pct,efg_pct,ts_pct,eff,min_per_game,scope
046,신한은행,김진영,11,F,676.9333333333333,50.0,108.0,20.0,62.0,18.0,40.0,44.0,124.0,168.0,58.0,60.0,6.0,40.0,6.0,178.0,70.0,170.0,41.2,46.3,32.3,45.0,47.1,47.4,254.0,61.5,totals
046,신한은행,김채은,1,C,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.1,totals
046,신한은행,미마 루이,8,C,287.43333333333334,44.0,86.0,2.0,20.0,34.0,44.0,32.0,52.0,84.0,12.0,34.0,12.0,16.0,2.0,128.0,46.0,106.0,43.4,51.2,10.0,77.3,44.3,51.1,152.0,35.9,totals
046,신한은행,신이슬,11,G,768.6666666666667,68.0,162.0,32.0,122.0,34.0,44.0,42.0,70.0,112.0,58.0,76.0,32.0,52.0,8.0,266.0,100.0,284.0,35.2,42.0,26.2,77.3,40.8,43.8,230.0,69.9,totals
046,신한은행,신지현,11,G,551.0666666666666,36.0,124.0,24.0,88.0,32.0,42.0,18.0,64.0,82.0,80.0,62.0,18.0,46.0,6.0,176.0,60.0,212.0,28.3,29.0,27.3,76.2,34.0,38.2,154.0,50.1,totals
046,신한은행,이가현,1,F,7.566666666666666,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,7.6,totals
046,신한은행,이두나,2,F,58.43333333333334,4.0,16.0,0.0,4.0,2.0,4.0,0.0,6.0,6.0,0.0,8.0,0.0,2.0,0.0,10.0,4.0,20.0,20.0,25.0,0.0,50.0,20.0,23.0,-4.0,29.2,totals
046,신한은행,이혜미,3,G,37.43333333333334,2.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,10.0,2.0,4.0,0.0,6.0,2.0,6.0,33.3,100.0,0.0,100.0,33.3,43.6,2.0,12.5,totals
046,신한은행,최이샘,11,F,537.1666666666666,34.0,106.0,18.0,56.0,18.0,18.0,38.0,102.0,140.0,34.0,30.0,0.0,22.0,4.0,140.0,52.0,162.0,32.1,32.1,32.1,100.0,37.7,41.2,186.0,48.8,totals
046,신한은행,팀합계,11,팀합계,4450.0,366.0,900.0,142.0,524.0,164.0,220.0,272.0,566.0,838.0,380.0,428.0,100.0,254.0,44.0,1322.0,508.0,1424.0,35.7,40.7,27.1,74.5,40.7,43.5,1458.0,404.5,totals
