03.01.26 20:12:57.496                       Running at http://localhost:8000
03.01.26 20:12:57.496                       Type Ctrl+C to stop
03.01.26 20:21:55.482       dream.log  WARN REQ 26 404 in 55 μs
03.01.26 20:21:55.482       dream.log  INFO REQ 25 200 in 337 μs
03.01.26 20:21:57.132       dream.log  INFO REQ 27 GET /player/095533/season-stats?scope=totals ::1:59120 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:21:57.132       dream.log  INFO REQ 27 200 in 220 μs
03.01.26 20:21:57.723       dream.log  INFO REQ 28 GET /player/095533/season-stats?scope=per_36 ::1:59120 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:21:57.723       dream.log  INFO REQ 28 200 in 197 μs
03.01.26 20:21:58.274       dream.log  INFO REQ 29 GET /player/095533/season-stats?scope=per_game ::1:59120 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:21:58.274       dream.log  INFO REQ 29 200 in 283 μs
03.01.26 20:21:59.318       dream.log  INFO REQ 30 GET /player/095533 ::1:59120 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:21:59.318       dream.log  INFO REQ 30 200 in 585 μs
03.01.26 20:21:59.327       dream.log  INFO REQ 31 GET /static/css/styles.css ::1:59120 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:21:59.327       dream.log  INFO REQ 31 200 in 157 μs
03.01.26 20:21:59.327       dream.log  INFO REQ 32 GET /static/images/player_095533.png ::1:59121 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:21:59.327       dream.log  WARN REQ 32 404 in 32 μs
03.01.26 20:22:00.123       dream.log  INFO REQ 33 GET /favicon.ico ::1:59121 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:00.123       dream.log  WARN REQ 33 404 in 77 μs
03.01.26 20:22:01.075       dream.log  INFO REQ 34 GET /leaders ::1:59121 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.089       dream.log  INFO REQ 34 200 in 13536 μs
03.01.26 20:22:01.098       dream.log  INFO REQ 35 GET /static/css/styles.css ::1:59121 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.099       dream.log  INFO REQ 36 GET /static/images/player_095104.png ::1:59120 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.099       dream.log  INFO REQ 37 GET /static/images/player_095533.png ::1:59160 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.099       dream.log  INFO REQ 35 200 in 234 μs
03.01.26 20:22:01.099       dream.log  WARN REQ 37 404 in 56 μs
03.01.26 20:22:01.100       dream.log  INFO REQ 38 GET /static/images/player_095248.png ::1:59160 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.100       dream.log  WARN REQ 38 404 in 58 μs
03.01.26 20:22:01.101       dream.log  INFO REQ 39 GET /static/images/player_095639.png ::1:59160 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.101       dream.log  WARN REQ 39 404 in 50 μs
03.01.26 20:22:01.102       dream.log  INFO REQ 36 200 in 3400 μs
03.01.26 20:22:01.111       dream.log  INFO REQ 40 GET /static/images/player_095263.png ::1:59120 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.111       dream.log  INFO REQ 41 GET /static/images/player_095710.png ::1:59121 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.111       dream.log  INFO REQ 42 GET /static/images/player_095499.png ::1:59160 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.111       dream.log  WARN REQ 41 404 in 45 μs
03.01.26 20:22:01.111       dream.log  WARN REQ 42 404 in 61 μs
03.01.26 20:22:01.111       dream.log  INFO REQ 43 GET /static/images/player_095484.png ::1:59161 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.111       dream.log  INFO REQ 44 GET /static/images/player_095115.png ::1:59162 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
