05.01.26 06:41:12.211                       Running on 0.0.0.0:8000 (http://localhost:8000)
05.01.26 06:41:12.212                       Type Ctrl+C to stop
05.01.26 06:48:37.562       dream.log  INFO REQ 45 GET /%22/static/images/player_095041.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.562       dream.log  WARN REQ 45 404 in 46 μs
05.01.26 06:48:37.563       dream.log  INFO REQ 46 GET /%22/static/images/player_095533.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.563       dream.log  WARN REQ 46 404 in 24 μs
05.01.26 06:48:37.563       dream.log  INFO REQ 47 GET /%22/static/images/player_095639.png/%22 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.563       dream.log  WARN REQ 47 404 in 13 μs
05.01.26 06:48:37.563       dream.log  INFO REQ 48 GET /%22/static/images/player_095104.png/%22 127.0.0.1:65205 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.563       dream.log  WARN REQ 48 404 in 12 μs
05.01.26 06:48:37.563       dream.log  INFO REQ 49 GET /%22/static/images/player_095248.png/%22 127.0.0.1:65183 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:37.563       dream.log  WARN REQ 49 404 in 12 μs
05.01.26 06:48:38.898       dream.log  INFO REQ 50 GET /games 127.0.0.1:65183 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:38.901       dream.log  INFO REQ 50 200 in 2544 μs
05.01.26 06:48:38.907       dream.log  INFO REQ 51 GET /static/css/styles.css 127.0.0.1:65183 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:38.907       dream.log  INFO REQ 52 GET /static/images/team_09.png 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:38.907       dream.log  INFO REQ 53 GET /static/images/team_01.png 127.0.0.1:65205 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:38.908       dream.log  INFO REQ 51 200 in 411 μs
05.01.26 06:48:38.908       dream.log  INFO REQ 52 200 in 596 μs
05.01.26 06:48:38.908       dream.log  INFO REQ 53 200 in 721 μs
05.01.26 06:48:38.909       dream.log  INFO REQ 54 GET /static/images/team_03.png 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:38.909       dream.log  INFO REQ 55 GET /static/images/team_11.png 127.0.0.1:65205 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:38.910       dream.log  INFO REQ 55 200 in 339 μs
05.01.26 06:48:38.910       dream.log  INFO REQ 54 200 in 720 μs
05.01.26 06:48:38.911       dream.log  INFO REQ 56 GET /static/images/team_05.png 127.0.0.1:65205 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:38.911       dream.log  INFO REQ 56 200 in 405 μs
05.01.26 06:48:39.843       dream.log  INFO REQ 57 GET /boxscore/046-01-37 127.0.0.1:65205 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.845       dream.log  INFO REQ 57 200 in 2038 μs
05.01.26 06:48:39.852       dream.log  INFO REQ 58 GET /static/css/styles.css 127.0.0.1:65205 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.852       dream.log  INFO REQ 59 GET /static/images/team_09.png 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.852       dream.log  INFO REQ 60 GET /static/images/team_01.png 127.0.0.1:65183 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.852       dream.log  INFO REQ 58 200 in 361 μs
05.01.26 06:48:39.852       dream.log  INFO REQ 59 200 in 378 μs
05.01.26 06:48:39.853       dream.log  INFO REQ 60 200 in 373 μs
05.01.26 06:48:39.854       dream.log  INFO REQ 61 GET /%22/static/images/player_096008.png/%22 127.0.0.1:65183 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.854       dream.log  WARN REQ 61 404 in 27 μs
05.01.26 06:48:39.854       dream.log  INFO REQ 62 GET /%22/static/images/player_095788.png/%22 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.854       dream.log  WARN REQ 62 404 in 13 μs
05.01.26 06:48:39.854       dream.log  INFO REQ 63 GET /%22/static/images/player_095715.png/%22 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.854       dream.log  WARN REQ 63 404 in 12 μs
05.01.26 06:48:39.855       dream.log  INFO REQ 64 GET /%22/static/images/player_095912.png/%22 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.855       dream.log  WARN REQ 64 404 in 22 μs
05.01.26 06:48:39.855       dream.log  INFO REQ 65 GET /%22/static/images/player_095499.png/%22 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.855       dream.log  WARN REQ 65 404 in 23 μs
05.01.26 06:48:39.855       dream.log  INFO REQ 66 GET /%22/static/images/player_095041.png/%22 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.855       dream.log  WARN REQ 66 404 in 26 μs
05.01.26 06:48:39.858       dream.log  INFO REQ 67 GET /%22/static/images/player_095830.png/%22 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.858       dream.log  WARN REQ 67 404 in 45 μs
05.01.26 06:48:39.858       dream.log  INFO REQ 68 GET /%22/static/images/player_095259.png/%22 127.0.0.1:65183 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.858       dream.log  WARN REQ 68 404 in 13 μs
05.01.26 06:48:39.858       dream.log  INFO REQ 69 GET /%22/static/images/player_095832.png/%22 127.0.0.1:65205 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.858       dream.log  WARN REQ 69 404 in 12 μs
05.01.26 06:48:39.858       dream.log  INFO REQ 70 GET /%22/static/images/player_095710.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.858       dream.log  WARN REQ 70 404 in 11 μs
05.01.26 06:48:39.858       dream.log  INFO REQ 71 GET /%22/static/images/player_096033.png/%22 127.0.0.1:65206 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.858       dream.log  WARN REQ 71 404 in 37 μs
05.01.26 06:48:39.859       dream.log  INFO REQ 72 GET /%22/static/images/player_095637.png/%22 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.859       dream.log  WARN REQ 72 404 in 24 μs
05.01.26 06:48:39.859       dream.log  INFO REQ 73 GET /%22/static/images/player_095543.png/%22 127.0.0.1:65205 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.859       dream.log  WARN REQ 73 404 in 30 μs
